Combination,Number
"Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",3
"Cardiomegaly, Edema, Fracture, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Consolidation, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",1
"Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",1
"Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other, Pneumonia, Pneumothorax",1
"Consolidation, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",1
"Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion",2
"Atelectasis, Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia",11
"Atelectasis, Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",3
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",2
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumonia, Pneumothorax",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",2
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",3
"Atelectasis, Cardiomegaly, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",2
"Atelectasis, Consolidation, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",1
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia, Pneumothorax",2
"Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia, Pneumothorax",1
